TIME,dpStatusNetworkReceiveDataThroughputInterfaceType,dpStatusNetworkReceiveDataThroughputInterfaceName,dpStatusNetworkReceiveDataThroughputTenSecondsBits,dpStatusNetworkReceiveDataThroughputOneMinuteBits,dpStatusNetworkReceiveDataThroughputTenMinutesBits,dpStatusNetworkReceiveDataThroughputOneHourBits,dpStatusNetworkReceiveDataThroughputOneDayBits
1579841832.815162,ethernet,eth0,7975,8243,5490,13187,67121
1579841832.815162,ethernet,eth0-vip,0,0,0,0,0
1579841832.815162,ethernet,eth1,7182,6541,6225,14269,75612
1579841832.815162,ethernet,eth1-vip,0,0,0,0,0
1579841832.815162,ethernet,eth2,13,12,12,12,12
1579841832.815162,ethernet,eth3,0,0,0,0,0
1579842433.295941,ethernet,eth0,8139,6387,8480,13041,67013
1579842433.295941,ethernet,eth0-vip,0,0,0,0,0
1579842433.295941,ethernet,eth1,7421,8108,7373,14636,76016
1579842433.295941,ethernet,eth1-vip,0,0,0,0,0
1579842433.295941,ethernet,eth2,12,12,12,12,12
1579842433.295941,ethernet,eth3,0,0,0,0,0
1579843033.747318,ethernet,eth0,8629,7104,9035,13749,67013
1579843033.747318,ethernet,eth0-vip,0,0,0,0,0
1579843033.747318,ethernet,eth1,8346,8677,8436,15111,76016
1579843033.747318,ethernet,eth1-vip,0,0,0,0,0
1579843033.747318,ethernet,eth2,12,12,12,12,12
1579843033.747318,ethernet,eth3,0,0,0,0,0
1579843634.25223,ethernet,eth0,3205,9838,8956,14794,67013
1579843634.25223,ethernet,eth0-vip,0,0,0,0,0
1579843634.25223,ethernet,eth1,9761,9485,9090,15702,76016
1579843634.25223,ethernet,eth1-vip,0,0,0,0,0
1579843634.25223,ethernet,eth2,12,12,12,12,12
1579843634.25223,ethernet,eth3,0,0,0,0,0
1579844234.742969,ethernet,eth0,11373,12118,8646,6508,67013
1579844234.742969,ethernet,eth0-vip,0,0,0,0,0
1579844234.742969,ethernet,eth1,10686,10479,10237,16390,76016
1579844234.742969,ethernet,eth1-vip,0,0,0,0,0
1579844234.742969,ethernet,eth2,12,12,12,12,12
1579844234.742969,ethernet,eth3,0,0,0,0,0
1579844835.220871,ethernet,eth0,7681,8710,66312,7463,67013
1579844835.220871,ethernet,eth0-vip,0,0,0,0,0
1579844835.220871,ethernet,eth1,12619,567065,66813,17179,76016
1579844835.220871,ethernet,eth1-vip,0,0,0,0,0
1579844835.220871,ethernet,eth2,12,12,12,12,12
1579844835.220871,ethernet,eth3,0,0,0,0,0
1579845435.689817,ethernet,eth0,14303,12852,10612,17934,67013
1579845435.689817,ethernet,eth0-vip,0,0,0,0,0
1579845435.689817,ethernet,eth1,13734,13484,12805,18144,76016
1579845435.689817,ethernet,eth1-vip,0,0,0,0,0
1579845435.689817,ethernet,eth2,12,12,12,12,12
1579845435.689817,ethernet,eth3,0,0,0,0,0
1579846036.173288,ethernet,eth0,15928,10992,12366,18749,67154
1579846036.173288,ethernet,eth0-vip,0,0,0,0,0
1579846036.173288,ethernet,eth1,14021,14889,14902,19249,76052
1579846036.173288,ethernet,eth1-vip,0,0,0,0,0
1579846036.173288,ethernet,eth2,12,12,12,12,12
1579846036.173288,ethernet,eth3,0,0,0,0,0
1579846636.671741,ethernet,eth0,13455,13672,13858,19386,67154
1579846636.671741,ethernet,eth0-vip,0,0,0,0,0
1579846636.671741,ethernet,eth1,18413,17400,16839,20506,76052
1579846636.671741,ethernet,eth1-vip,0,0,0,0,0
1579846636.671741,ethernet,eth2,12,12,12,12,12
1579846636.671741,ethernet,eth3,0,0,0,0,0
1579847237.128333,ethernet,eth0,17668,568103,70621,20214,67154
1579847237.128333,ethernet,eth0-vip,0,0,0,0,0
1579847237.128333,ethernet,eth1,19002,21151,74569,21954,76052
1579847237.128333,ethernet,eth1-vip,0,0,0,0,0
1579847237.128333,ethernet,eth2,12,12,12,12,12
1579847237.128333,ethernet,eth3,0,0,0,0,0
1579847837.634135,ethernet,eth0,28437,23486,17697,30523,67154
1579847837.634135,ethernet,eth0-vip,0,0,0,0,0
1579847837.634135,ethernet,eth1,25618,24051,21879,32864,76052
1579847837.634135,ethernet,eth1-vip,0,0,0,0,0
1579847837.634135,ethernet,eth2,12,12,12,12,12
1579847837.634135,ethernet,eth3,0,0,0,0,0
1579848438.129312,ethernet,eth0,32016,36805,27338,32126,67154
1579848438.129312,ethernet,eth0-vip,0,0,0,0,0
1579848438.129312,ethernet,eth1,3328032,578341,25081,34844,76052
1579848438.129312,ethernet,eth1-vip,0,0,0,0,0
1579848438.129312,ethernet,eth2,12,12,12,12,12
1579848438.129312,ethernet,eth3,0,0,0,0,0
1579849038.647508,ethernet,eth0,83558,81144,108413,25847,67154
1579849038.647508,ethernet,eth0-vip,0,0,0,0,0
1579849038.647508,ethernet,eth1,41743,42262,88647,37103,76052
1579849038.647508,ethernet,eth1-vip,0,0,0,0,0
1579849038.647508,ethernet,eth2,12,12,12,12,12
1579849038.647508,ethernet,eth3,0,0,0,0,0
1579849639.268478,ethernet,eth0,183553,670951,283876,43035,67440
1579849639.268478,ethernet,eth0-vip,0,0,0,0,0
1579849639.268478,ethernet,eth1,71480,68244,109470,40805,76164
1579849639.268478,ethernet,eth1-vip,0,0,0,0,0
1579849639.268478,ethernet,eth2,12,12,12,12,12
1579849639.268478,ethernet,eth3,0,0,0,0,0
1579850239.737071,ethernet,eth0,168012,189542,336900,89618,67440
1579850239.737071,ethernet,eth0-vip,0,0,0,0,0
1579850239.737071,ethernet,eth1,81898,78163,129919,57006,76164
1579850239.737071,ethernet,eth1-vip,0,0,0,0,0
1579850239.737071,ethernet,eth2,12,12,12,12,12
1579850239.737071,ethernet,eth3,0,0,0,0,0
1579850840.351579,ethernet,eth0,176702,181821,336706,143699,67440
1579850840.351579,ethernet,eth0-vip,0,0,0,0,0
1579850840.351579,ethernet,eth1,82437,85382,190045,84831,76164
1579850840.351579,ethernet,eth1-vip,0,0,0,0,0
1579850840.351579,ethernet,eth2,12,12,12,12,12
1579850840.351579,ethernet,eth3,0,0,0,0,0
1579851440.872564,ethernet,eth0,154183,155296,309235,196124,67440
1579851440.872564,ethernet,eth0-vip,0,0,0,0,0
1579851440.872564,ethernet,eth1,3272866,614146,137295,95253,76164
1579851440.872564,ethernet,eth1-vip,0,0,0,0,0
