TIME,dpStatusHTTPMeanTransactionTime2serviceClass,dpStatusHTTPMeanTransactionTime2proxy,dpStatusHTTPMeanTransactionTime2tenSeconds,dpStatusHTTPMeanTransactionTime2oneMinute,dpStatusHTTPMeanTransactionTime2tenMinutes,dpStatusHTTPMeanTransactionTime2oneHour,dpStatusHTTPMeanTransactionTime2oneDay
1579036874.235216,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,101
1579036874.235216,multiProtocolGateway,customDomains,94,87,71,83,67
1579036874.235216,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579036874.235216,multiProtocolGateway,mbaas_uri_to_host,100,92,108,96,118
1579036874.235216,multiProtocolGateway,stats,0,0,0,0,0
1579037474.571963,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,101
1579037474.571963,multiProtocolGateway,customDomains,35,84,77,82,67
1579037474.571963,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579037474.571963,multiProtocolGateway,mbaas_uri_to_host,66,108,104,95,118
1579037474.571963,multiProtocolGateway,stats,0,0,0,0,0
1579038074.888428,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,101
1579038074.888428,multiProtocolGateway,customDomains,108,108,162,82,67
1579038074.888428,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579038074.888428,multiProtocolGateway,mbaas_uri_to_host,83,108,103,98,117
1579038074.888428,multiProtocolGateway,stats,0,0,0,0,0
1579038675.199649,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,101
1579038675.199649,multiProtocolGateway,customDomains,32,61,80,94,67
1579038675.199649,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579038675.199649,multiProtocolGateway,mbaas_uri_to_host,73,98,113,101,117
1579038675.199649,multiProtocolGateway,stats,0,0,0,0,0
1579039275.521617,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,101
