TIME,dpStatusNetworkTransmitDataThroughputInterfaceType,dpStatusNetworkTransmitDataThroughputInterfaceName,dpStatusNetworkTransmitDataThroughputTenSecondsBits,dpStatusNetworkTransmitDataThroughputOneMinuteBits,dpStatusNetworkTransmitDataThroughputTenMinutesBits,dpStatusNetworkTransmitDataThroughputOneHourBits,dpStatusNetworkTransmitDataThroughputOneDayBits
1579837028.744141,ethernet,eth3,0,0,0,0,0
1579837629.217528,ethernet,eth0,2915,3098,3055,3879,63996
1579837629.217528,ethernet,eth0-vip,0,0,0,0,0
1579837629.217528,ethernet,eth1,5740,7495,9864,19238,98633
1579837629.217528,ethernet,eth1-vip,0,0,0,0,0
1579837629.217528,ethernet,eth2,0,0,0,0,0
1579837629.217528,ethernet,eth3,0,0,0,0,0
1579838229.74954,ethernet,eth0,3700,4023,3144,3694,63996
1579838229.74954,ethernet,eth0-vip,0,0,0,0,0
1579838229.74954,ethernet,eth1,18738,11806,9616,19220,98633
1579838229.74954,ethernet,eth1-vip,0,0,0,0,0
1579838229.74954,ethernet,eth2,0,0,0,0,0
1579838229.74954,ethernet,eth3,0,0,0,0,0
1579838830.259961,ethernet,eth0,3748,3985,3648,3558,63618
1579838830.259961,ethernet,eth0-vip,0,0,0,0,0
1579838830.259961,ethernet,eth1,6110,6026,8294,19218,99193
1579838830.259961,ethernet,eth1-vip,0,0,0,0,0
1579838830.259961,ethernet,eth2,0,0,0,0,0
1579838830.259961,ethernet,eth3,0,0,0,0,0
1579839430.735152,ethernet,eth0,3654,4152,3890,3465,63618
1579839430.735152,ethernet,eth0-vip,0,0,0,0,0
1579839430.735152,ethernet,eth1,5907,7084,62493,18712,99193
1579839430.735152,ethernet,eth1-vip,0,0,0,0,0
1579839430.735152,ethernet,eth2,0,0,0,0,0
1579839430.735152,ethernet,eth3,0,0,0,0,0
1579840031.226359,ethernet,eth0,4235,4300,3996,3372,63618
1579840031.226359,ethernet,eth0-vip,0,0,0,0,0
1579840031.226359,ethernet,eth1,7471,7064,6310,18106,99193
1579840031.226359,ethernet,eth1-vip,0,0,0,0,0
1579840031.226359,ethernet,eth2,0,0,0,0,0
1579840031.226359,ethernet,eth3,0,0,0,0,0
1579840631.705363,ethernet,eth0,4214,4576,4593,3510,63618
1579840631.705363,ethernet,eth0-vip,0,0,0,0,0
1579840631.705363,ethernet,eth1,7466,6842,7111,17629,99193
1579840631.705363,ethernet,eth1-vip,0,0,0,0,0
1579840631.705363,ethernet,eth2,0,0,0,0,0
1579840631.705363,ethernet,eth3,0,0,0,0,0
1579841232.182088,ethernet,eth0,5041,4535,4448,3745,63618
1579841232.182088,ethernet,eth0-vip,0,0,0,0,0
1579841232.182088,ethernet,eth1,6976,6562,7342,17265,99193
1579841232.182088,ethernet,eth1-vip,0,0,0,0,0
1579841232.182088,ethernet,eth2,0,0,0,0,0
1579841232.182088,ethernet,eth3,0,0,0,0,0
1579841832.648681,ethernet,eth0,5742,5275,60789,3987,63618
1579841832.648681,ethernet,eth0-vip,0,0,0,0,0
1579841832.648681,ethernet,eth1,13041,12540,9685,16853,99193
1579841832.648681,ethernet,eth1-vip,0,0,0,0,0
1579841832.648681,ethernet,eth2,0,0,0,0,0
1579841832.648681,ethernet,eth3,0,0,0,0,0
1579842433.147031,ethernet,eth0,6026,6600,5959,13587,64019
1579842433.147031,ethernet,eth0-vip,0,0,0,0,0
1579842433.147031,ethernet,eth1,13231,11875,13243,16884,99101
1579842433.147031,ethernet,eth1-vip,0,0,0,0,0
1579842433.147031,ethernet,eth2,0,0,0,0,0
1579842433.147031,ethernet,eth3,0,0,0,0,0
1579843033.607141,ethernet,eth0,6685,6984,6827,13985,64019
1579843033.607141,ethernet,eth0-vip,0,0,0,0,0
1579843033.607141,ethernet,eth1,14157,12683,69695,17817,99101
1579843033.607141,ethernet,eth1-vip,0,0,0,0,0
1579843033.607141,ethernet,eth2,0,0,0,0,0
1579843033.607141,ethernet,eth3,0,0,0,0,0
1579843634.099787,ethernet,eth0,7823,7669,7378,14478,64019
1579843634.099787,ethernet,eth0-vip,0,0,0,0,0
1579843634.099787,ethernet,eth1,9944,15585,14435,19055,99101
1579843634.099787,ethernet,eth1-vip,0,0,0,0,0
1579843634.099787,ethernet,eth2,0,0,0,0,0
1579843634.099787,ethernet,eth3,0,0,0,0,0
1579844234.581077,ethernet,eth0,8685,8526,8385,15053,64019
1579844234.581077,ethernet,eth0-vip,0,0,0,0,0
1579844234.581077,ethernet,eth1,17605,18100,14555,20370,99101
1579844234.581077,ethernet,eth1-vip,0,0,0,0,0
1579844234.581077,ethernet,eth2,0,0,0,0,0
1579844234.581077,ethernet,eth3,0,0,0,0,0
1579844835.064683,ethernet,eth0,10127,9422,9182,15708,64019
1579844835.064683,ethernet,eth0-vip,0,0,0,0,0
1579844835.064683,ethernet,eth1,17304,15447,17476,21655,99101
1579844835.064683,ethernet,eth1-vip,0,0,0,0,0
1579844835.064683,ethernet,eth2,0,0,0,0,0
1579844835.064683,ethernet,eth3,0,0,0,0,0
1579845435.531484,ethernet,eth0,11263,10986,10464,16517,64019
1579845435.531484,ethernet,eth0-vip,0,0,0,0,0
1579845435.531484,ethernet,eth1,15444,19406,73029,32564,99101
1579845435.531484,ethernet,eth1-vip,0,0,0,0,0
1579845435.531484,ethernet,eth2,0,0,0,0,0
1579845435.531484,ethernet,eth3,0,0,0,0,0
1579846036.009077,ethernet,eth0,11477,12205,67708,8134,63662
