TIME,dpStatusNetworkTransmitDataThroughputInterfaceType,dpStatusNetworkTransmitDataThroughputInterfaceName,dpStatusNetworkTransmitDataThroughputTenSecondsBits,dpStatusNetworkTransmitDataThroughputOneMinuteBits,dpStatusNetworkTransmitDataThroughputTenMinutesBits,dpStatusNetworkTransmitDataThroughputOneHourBits,dpStatusNetworkTransmitDataThroughputOneDayBits
1580234693.380377,ethernet,eth0-vip,0,0,0,0,0
1580234693.380377,ethernet,eth1,29620,27902,88091,83320,70587
1580234693.380377,ethernet,eth1-vip,0,0,0,0,0
1580234693.380377,ethernet,eth2,0,0,0,0,0
1580234693.380377,ethernet,eth3,0,0,0,0,0
1580235294.031038,ethernet,eth0,31775,29940,85047,61379,68168
1580235294.031038,ethernet,eth0-vip,0,0,0,0,0
1580235294.031038,ethernet,eth1,30138,28269,29357,72763,70503
1580235294.031038,ethernet,eth1-vip,0,0,0,0,0
1580235294.031038,ethernet,eth2,0,0,0,0,0
1580235294.031038,ethernet,eth3,0,0,0,0,0
1580235894.643431,ethernet,eth0,32851,30187,30353,69260,68168
1580235894.643431,ethernet,eth0-vip,0,0,0,0,0
1580235894.643431,ethernet,eth1,30124,28508,83582,71003,70503
1580235894.643431,ethernet,eth1-vip,0,0,0,0,0
1580235894.643431,ethernet,eth2,0,0,0,0,0
1580235894.643431,ethernet,eth3,0,0,0,0,0
1580236495.23214,ethernet,eth0,29589,28007,84532,59209,68168
1580236495.23214,ethernet,eth0-vip,0,0,0,0,0
1580236495.23214,ethernet,eth1,3327829,576971,83049,60220,70503
1580236495.23214,ethernet,eth1-vip,0,0,0,0,0
1580236495.23214,ethernet,eth2,0,0,0,0,0
1580236495.23214,ethernet,eth3,0,0,0,0,0
1580237095.788982,ethernet,eth0,29200,28204,28284,58359,68168
1580237095.788982,ethernet,eth0-vip,0,0,0,0,0
1580237095.788982,ethernet,eth1,27654,27198,27334,67875,70503
1580237095.788982,ethernet,eth1-vip,0,0,0,0,0
1580237095.788982,ethernet,eth2,0,0,0,0,0
1580237095.788982,ethernet,eth3,0,0,0,0,0
1580237696.355953,ethernet,eth0,25813,26194,83155,57698,68168
1580237696.355953,ethernet,eth0-vip,0,0,0,0,0
1580237696.355953,ethernet,eth1,24403,24512,26723,57345,70503
1580237696.355953,ethernet,eth1-vip,0,0,0,0,0
1580237696.355953,ethernet,eth2,0,0,0,0,0
1580237696.355953,ethernet,eth3,0,0,0,0,0
1580238296.966546,ethernet,eth0,32797,28375,26783,56886,68168
1580238296.966546,ethernet,eth0-vip,0,0,0,0,0
1580238296.966546,ethernet,eth1,27196,27567,81059,55810,70503
1580238296.966546,ethernet,eth1-vip,0,0,0,0,0
1580238296.966546,ethernet,eth2,0,0,0,0,0
1580238296.966546,ethernet,eth3,0,0,0,0,0
1580238897.533017,ethernet,eth0,25323,25843,81631,56176,68143
1580238897.533017,ethernet,eth0-vip,0,0,0,0,0
1580238897.533017,ethernet,eth1,23183,24724,26068,54993,70280
1580238897.533017,ethernet,eth1-vip,0,0,0,0,0
1580238897.533017,ethernet,eth2,0,0,0,0,0
1580238897.533017,ethernet,eth3,0,0,0,0,0
1580239498.068574,ethernet,eth0,23016,24341,25617,55634,68143
1580239498.068574,ethernet,eth0-vip,0,0,0,0,0
1580239498.068574,ethernet,eth1,21749,23057,80127,54572,70280
1580239498.068574,ethernet,eth1-vip,0,0,0,0,0
1580239498.068574,ethernet,eth2,0,0,0,0,0
1580239498.068574,ethernet,eth3,0,0,0,0,0
1580240098.576571,ethernet,eth0,22972,23070,79467,54673,68143
1580240098.576571,ethernet,eth0-vip,0,0,0,0,0
1580240098.576571,ethernet,eth1,22172,21928,23470,53792,70280
1580240098.576571,ethernet,eth1-vip,0,0,0,0,0
1580240098.576571,ethernet,eth2,0,0,0,0,0
1580240098.576571,ethernet,eth3,0,0,0,0,0
1580240699.198646,ethernet,eth0,23319,25468,23901,53976,68143
1580240699.198646,ethernet,eth0-vip,0,0,0,0,0
1580240699.198646,ethernet,eth1,23042,22818,78230,43978,70280
1580240699.198646,ethernet,eth1-vip,0,0,0,0,0
1580240699.198646,ethernet,eth2,0,0,0,0,0
1580240699.198646,ethernet,eth3,0,0,0,0,0
1580241299.845183,ethernet,eth0,21882,21915,22785,53098,68143
1580241299.845183,ethernet,eth0-vip,0,0,0,0,0
1580241299.845183,ethernet,eth1,19877,20899,22217,52350,70280
1580241299.845183,ethernet,eth1-vip,0,0,0,0,0
1580241299.845183,ethernet,eth2,0,0,0,0,0
1580241299.845183,ethernet,eth3,0,0,0,0,0
1580241900.433531,ethernet,eth0,22899,23128,77219,52310,68143
1580241900.433531,ethernet,eth0-vip,0,0,0,0,0
1580241900.433531,ethernet,eth1,22239,21865,21396,42491,70280
1580241900.433531,ethernet,eth1-vip,0,0,0,0,0
1580241900.433531,ethernet,eth2,0,0,0,0,0
1580241900.433531,ethernet,eth3,0,0,0,0,0
1580242501.063753,ethernet,eth0,21158,21490,21192,51489,68170
1580242501.063753,ethernet,eth0-vip,0,0,0,0,0
1580242501.063753,ethernet,eth1,20565,22866,76184,50909,70154
1580242501.063753,ethernet,eth1-vip,0,0,0,0,0
1580242501.063753,ethernet,eth2,0,0,0,0,0
1580242501.063753,ethernet,eth3,0,0,0,0,0
1580243101.746798,ethernet,eth0,20769,21157,75707,41407,68170
1580243101.746798,ethernet,eth0-vip,0,0,0,0,0
1580243101.746798,ethernet,eth1,26296,25718,21528,40811,70154
1580243101.746798,ethernet,eth1-vip,0,0,0,0,0
1580243101.746798,ethernet,eth2,0,0,0,0,0
1580243101.746798,ethernet,eth3,0,0,0,0,0
1580243702.351602,ethernet,eth0,18580,19198,20314,49847,68170
1580243702.351602,ethernet,eth0-vip,0,0,0,0,0
1580243702.351602,ethernet,eth1,24050,21931,78818,40536,70154
1580243702.351602,ethernet,eth1-vip,0,0,0,0,0
1580243702.351602,ethernet,eth2,0,0,0,0,0
1580243702.351602,ethernet,eth3,0,0,0,0,0
1580244303.016209,ethernet,eth0,18287,19677,19661,39957,68170
