TIME,dpStatusNetworkReceiveDataThroughputInterfaceType,dpStatusNetworkReceiveDataThroughputInterfaceName,dpStatusNetworkReceiveDataThroughputTenSecondsBits,dpStatusNetworkReceiveDataThroughputOneMinuteBits,dpStatusNetworkReceiveDataThroughputTenMinutesBits,dpStatusNetworkReceiveDataThroughputOneHourBits,dpStatusNetworkReceiveDataThroughputOneDayBits
1581020772.683237,ethernet,eth2,12,12,12,12,12
1581020772.683237,ethernet,eth3,0,0,0,0,0
1581021373.168176,ethernet,eth0,13558,12798,8355,21641,67103
1581021373.168176,ethernet,eth0-vip,0,0,0,0,0
1581021373.168176,ethernet,eth1,27091,26474,81766,55883,90283
1581021373.168176,ethernet,eth1-vip,0,0,0,0,0
1581021373.168176,ethernet,eth2,12,13,12,12,12
1581021373.168176,ethernet,eth3,0,0,0,0,0
1581021973.762957,ethernet,eth0,6931,6976,9743,21007,67103
1581021973.762957,ethernet,eth0-vip,0,0,0,0,0
1581021973.762957,ethernet,eth1,25599,24568,26367,55165,90283
1581021973.762957,ethernet,eth1-vip,0,0,0,0,0
1581021973.762957,ethernet,eth2,12,12,12,12,12
1581021973.762957,ethernet,eth3,0,0,0,0,0
1581022574.25977,ethernet,eth0,18904,14210,9693,20107,67103
1581022574.25977,ethernet,eth0-vip,0,0,0,0,0
1581022574.25977,ethernet,eth1,32129,29762,83268,54616,90283
1581022574.25977,ethernet,eth1-vip,0,0,0,0,0
1581022574.25977,ethernet,eth2,12,12,12,12,12
1581022574.25977,ethernet,eth3,0,0,0,0,0
1581023174.857388,ethernet,eth0,17679,19788,68505,28945,67546
1581023174.857388,ethernet,eth0-vip,0,0,0,0,0
1581023174.857388,ethernet,eth1,26914,28467,29263,54727,90390
1581023174.857388,ethernet,eth1-vip,0,0,0,0,0
1581023174.857388,ethernet,eth2,12,12,12,12,12
1581023174.857388,ethernet,eth3,0,0,0,0,0
1581023775.381216,ethernet,eth0,11186,15189,16650,19904,67546
1581023775.381216,ethernet,eth0-vip,0,0,0,0,0
1581023775.381216,ethernet,eth1,24043,24941,81265,54824,90390
1581023775.381216,ethernet,eth1-vip,0,0,0,0,0
1581023775.381216,ethernet,eth2,12,12,12,12,12
1581023775.381216,ethernet,eth3,0,0,0,0,0
1581024375.89083,ethernet,eth0,20540,19542,18480,20592,67546
1581024375.89083,ethernet,eth0-vip,0,0,0,0,0
1581024375.89083,ethernet,eth1,25002,25237,24871,54637,90390
1581024375.89083,ethernet,eth1-vip,0,0,0,0,0
